table_name,column_name,data_type
site_stats,id,bigint
boosting,require_login,boolean
boosting,rankOptions,jsonb
site_stats,views,bigint
comments,is_pinned,boolean
comments,created_at,timestamp with time zone
accounts,rentPricePerHour,bigint
comments,parent_id,uuid
comments,is_edited,boolean
comments,edit_history,jsonb
boosting,oldPrice,numeric
boosting,discountPercent,numeric
boosting,allow_quantity,boolean
accounts,is_sold,boolean
accounts,oldPrice,numeric
users,balance,bigint
users,spins,bigint
accounts,oldRentPrice,numeric
users,is_locked,boolean
accounts,rentDiscountPercent,numeric
users,is_email_verified,boolean
users,is_cccd_verified,boolean
accounts,stock,integer
transactions,amount,bigint
users,savedHours,bigint
users,rentFund,bigint
users,is_trusted,boolean
vouchers,isActive,boolean
users,last_active,timestamp with time zone
boosting_requests,boostingId,bigint
vouchers,usage_limit,bigint
vouchers,user_limit,bigint
wheel_items,value,bigint
accounts,price,bigint
messages,timestamp,bigint
boosting_requests,created_at,timestamp with time zone
wheel_items,quantity,bigint
messages,isRead,boolean
boosting,id,bigint
vouchers,percent,bigint
vouchers,bonusSpins,bigint
deposit_requests,amount,bigint
deposit_requests,bonusAmount,bigint
boosting,price,bigint
transactions,isSpinCost,boolean
rent_requests,info,jsonb
deposit_requests,voucherSpins,bigint
deposit_requests,telegram_message_id,bigint
transactions,created_at,timestamp with time zone
rent_requests,created_at,timestamp with time zone
deposit_requests,created_at,timestamp with time zone
comments,id,uuid
site_config,value,jsonb
rent_requests,status,text
rent_requests,date,text
rent_requests,userId,text
vouchers,id,text
comments,content,text
comments,liked_by,ARRAY
comments,disliked_by,ARRAY
comments,reported_by,ARRAY
users,id,text
users,name,text
users,phone,text
users,email,text
users,password,text
users,role,text
users,created_at,text
users,cccd_image,text
users,cccd_number,text
users,avatar_url,text
wheel_items,id,text
wheel_items,name,text
wheel_items,type,text
wheel_items,rate,text
wheel_items,image,text
wheel_items,wheel_type,text
wheel_items,color,text
deposit_requests,id,text
deposit_requests,user,text
deposit_requests,userId,text
deposit_requests,voucherCode,text
deposit_requests,status,text
deposit_requests,date,text
deposit_requests,details,text
deposit_requests,type,text
site_config,id,text
comments,user_id,text
vouchers,code,text
voucher_usage,id,text
voucher_usage,userId,text
voucher_usage,voucherCode,text
voucher_usage,usedAt,text
transactions,id,text
transactions,user,text
transactions,action,text
transactions,date,text
transactions,status,text
transactions,type,text
transactions,accDetails,text
transactions,reqId,text
messages,id,text
messages,senderId,text
messages,receiverId,text
messages,content,text
boosting,game,text
boosting,title,text
boosting,desc,text
boosting,image,text
boosting,type,text
boosting,priceUnit,text
accounts,id,text
accounts,code,text
accounts,game,text
accounts,title,text
accounts,tags,text
accounts,description,text
accounts,coverImage,text
accounts,detailImages,text
accounts,accUsername,text
accounts,accPassword,text
accounts,accEmail,text
accounts,accPhone,text
accounts,rentedUntil,text
accounts,createdAt,text
accounts,rentOptions,text
accounts,tagColor,text
accounts,tier,text
accounts,rentStartedAt,text
accounts,currentRenterId,text
boosting_requests,id,text
boosting_requests,user,text
boosting_requests,boostingTitle,text
boosting_requests,date,text
boosting_requests,status,text
boosting_requests,info,text
rent_requests,id,text
rent_requests,user,text
rent_requests,accCode,text
rent_requests,time,text
